g	s	f
ATP6V0D1	20	f-14
ATP6V0D1	233	f-12
ATP6V0D1	48	f-61
ATP6V0D1	49	f-62
ATP6V0D1	50	f-63
ATP6V0D1	54	f-26
ATP6V0D1	6	f-25
ATP6V0D1	60	f-13
ATP6V0D1	97	f-21
ATP6V0D1	97	f-72
ATP6V0E	29	f-13
ATP6V0E1	1	f-41
ATP6V0E1	1	f-63
ATP6V0E1	2	f-14
ATP6V0E1	2	f-25
ATP6V0E1	3	f-26
ATP6V0E1	3	f-61
ATP6V0E1	8	f-39
ATP6V0E1	8	f-390
ATP6V0E1P2	1	f-91
ATP6V0E1P2	1	f-92
ATP6V0E1P2	7	f-391
ATP6V0E1P2	8	f-28
ATP6V0E2	1	f-16
ATP6V0E2	13	f-23
ATP6V0E2	13	f-62
ATP6V0E2	13	f-71
ATP6V0E2	18	f-61
ATP6V0E2	20	f-63
ATP6V0E2	23	f-26
ATP6V0E2	26	f-33
ATP6V0E2	3	f-38
ATP6V0E2	41	f-12
ATP6V0E2	5	f-31
ATP6V0E2	7	f-32
ATP6V0E2	72	f-392
ATP6V0E2	8	f-25
ATP6V0E2	9	f-14
ATP6V0E2	9	f-21
ATP6V0E2	9	f-36
ATP6V0E2	9	f-72
ATP6V0E2	9	f-92
ATP6V0E2-AS1	1	f-42
ATP6V0E2-AS1	11	f-12
ATP6V0E2-AS1	6	f-14
ATP6V1A	9	f-36
ATP6V1B1	1	f-41
ATP6V1B1	12	f-39
ATP6V1B1	2	f-13
ATP6V1B2	1	f-25
ATP6V1B2	1	f-51
ATP6V1B2	13	f-62
ATP6V1B2	19	f-36
ATP6V1B2	19	f-61
ATP6V1B2	5	f-14
ATP6V1B2	6	f-26
ATP6V1C1	1	f-16
ATP6V1C1	1	f-25
ATP6V1C1	101	f-12
ATP6V1C1	155	f-13
ATP6V1C1	2	f-26
ATP6V1C1	2	f-63
ATP6V1C1	26	f-14
ATP6V1C1	3	f-61
ATP6V1C1	3	f-62
ATP6V1C2	1	f-211
ATP6V1C2	1	f-212
ATP6V1C2	1	f-25
ATP6V1C2	128	f-28
ATP6V1C2	150	f-37
ATP6V1C2	157	f-27
ATP6V1C2	159	f-92
ATP6V1C2	163	f-392
ATP6V1C2	169	f-42
ATP6V1C2	175	f-91
ATP6V1C2	195	f-38
ATP6V1C2	198	f-391
ATP6V1C2	200	f-39
ATP6V1C2	200	f-390
ATP6V1C2	3	f-14
ATP6V1C2	3	f-213
ATP6V1D	1	f-16
ATP6V1D	1	f-25
ATP6V1D	1	f-390
ATP6V1D	10	f-14
ATP6V1D	17	f-391
ATP6V1D	2	f-28
ATP6V1D	24	f-63
ATP6V1D	25	f-12
ATP6V1D	27	f-21
ATP6V1D	27	f-61
ATP6V1D	27	f-72
ATP6V1D	28	f-92
ATP6V1D	3	f-35
ATP6V1D	3	f-41
ATP6V1D	304	f-39
ATP6V1D	33	f-62
ATP6V1D	36	f-26
ATP6V1D	362	f-27
ATP6V1D	404	f-392
ATP6V1D	468	f-36
ATP6V1D	72	f-13
ATP6V1E1	1	f-16
ATP6V1E1	1	f-222
ATP6V1E1	1	f-28
ATP6V1E1	1	f-92
ATP6V1E1	110	f-13
ATP6V1E1	125	f-12
ATP6V1E1	16	f-14
ATP6V1E1	18	f-62
ATP6V1E1	25	f-392
ATP6V1E1	25	f-61
ATP6V1E1	257	f-23
ATP6V1E1	257	f-71
ATP6V1E1	27	f-63
ATP6V1E1	29	f-26
ATP6V1E2	1	f-225
ATP6V1E2	10	f-392
ATP6V1E2	103	f-27
ATP6V1E2	14	f-14
ATP6V1E2	16	f-23
ATP6V1E2	16	f-71
ATP6V1E2	19	f-28
ATP6V1E2	2	f-41
ATP6V1E2	22	f-91
ATP6V1E2	25	f-25
ATP6V1E2	25	f-37
ATP6V1E2	27	f-42
ATP6V1E2	360	f-13
ATP6V1E2	49	f-12
ATP6V1E2	5	f-36
ATP6V1E2	58	f-61
ATP6V1E2	6	f-211
ATP6V1E2	6	f-213
ATP6V1E2	6	f-39
ATP6V1E2	7	f-35
ATP6V1E2	7	f-38
ATP6V1E2	7	f-391
ATP6V1E2	7	f-92
ATP6V1E2	79	f-26
ATP6V1E2	79	f-62
ATP6V1E2	8	f-212
ATP6V1E2	85	f-63
ATP6V1F	1	f-14
ATP6V1F	1	f-390
ATP6V1F	2	f-92
ATP6V1G1	10	f-35
ATP6V1G1	13	f-61
ATP6V1G1	3	f-33
ATP6V1G1	4	f-26
ATP6V1G1	5	f-28
ATP6V1G1	5	f-62
ATP6V1G2	10	f-211
ATP6V1G2	132	f-39
ATP6V1G2	15	f-213
ATP6V1G2	15	f-32
ATP6V1G2	18	f-212
ATP6V1G2	19	f-33
ATP6V1G2	22	f-25
ATP6V1G2	23	f-42
ATP6V1G2	36	f-35
ATP6V1G2	44	f-92
ATP6V1G2	6	f-37
ATP6V1G2	70	f-36
ATP6V1G2	76	f-390
ATP6V1G2	79	f-38
ATP6V1G2	85	f-391
ATP6V1G2	91	f-41
ATP6V1G3	2	f-41
ATP6V1H	1	f-63
ATP6V1H	2	f-26
ATP6V1H	2	f-41
ATP7B	1	f-51
ATP7B	19	f-14
ATP7B	2	f-211
ATP7B	2	f-212
ATP7B	2	f-213
ATP7B	3	f-36
ATP7B	38	f-13
ATP7B	41	f-12
ATP7B	43	f-27
ATP8A1	11	f-14
ATP8A1	12	f-36
ATP8A1	148	f-37
ATP8A1	174	f-38
ATP8A1	194	f-39
ATP8A1	195	f-35
ATP8A1	2	f-42
ATP8A1	201	f-391
ATP8A1	246	f-31
ATP8A1	247	f-32
ATP8A1	384	f-392
ATP8A1	393	f-390
ATP8A1	43	f-33
ATP8A1	5	f-92
ATP8A1	73	f-13
ATP8A2	1	f-13
ATP8A2	1	f-25
ATP8A2	1	f-36
ATP8A2	1	f-391
ATP8A2	1	f-41
ATP8A2	3	f-35
ATP8A2	5	f-92
ATP8A2	6	f-14
ATP8A2P2	95	f-39
ATP8A2P3	3	f-35
ATP8B1	1	f-212
ATP8B1	1	f-25
ATP8B1	1	f-35
ATP8B1	1	f-41
ATP8B1	3	f-38
ATP8B1	7	f-14
ATP8B1	74	f-13
ATP8B2	106	f-33
ATP8B2	13	f-39
ATP8B2	14	f-37
ATP8B2	22	f-38
ATP8B2	22	f-392
ATP8B2	27	f-14
ATP8B2	3	f-222
ATP8B2	3	f-61
ATP8B2	3	f-62
ATP8B2	34	f-36
ATP8B2	40	f-12
ATP8B2	40	f-92
ATP8B2	42	f-35
ATP8B2	62	f-13
ATP8B2	8	f-391
ATP8B3	11	f-28
ATP8B3	13	f-35
ATP8B3	14	f-12
ATP8B3	14	f-39
ATP8B3	17	f-91
ATP8B3	19	f-92
ATP8B3	32	f-14
ATP8B3	32	f-27
ATP8B3	48	f-37
ATP8B3	5	f-36
ATP8B3	52	f-391
ATP8B3	55	f-390
ATP8B3	57	f-392
ATP8B3	7	f-13
ATP8B3	7	f-38
ATP8B4	1	f-51
ATP8B4	100	f-62
ATP8B4	122	f-28
ATP8B4	15	f-27
ATP8B4	25	f-25
ATP8B4	277	f-13
ATP8B4	36	f-14
ATP8B4	64	f-26
ATP8B4	81	f-23
ATP8B4	81	f-71
ATP8B4	88	f-63
ATP8B4	91	f-61
ATP8B4	93	f-22
ATP8B5P	1	f-14
ATP9A	1	f-16
ATP9A	1	f-221
ATP9A	1	f-222
ATP9A	1	f-224
ATP9A	1	f-225
ATP9A	156	f-12
ATP9A	2	f-25
ATP9A	220	f-42
ATP9A	232	f-28
ATP9A	273	f-13
ATP9A	3	f-41
ATP9A	44	f-91
ATP9A	46	f-14
ATP9A	5	f-213
ATP9A	6	f-212
ATP9A	7	f-211
ATP9B	1	f-92
ATP9B	100	f-28
ATP9B	107	f-13
ATP9B	139	f-27
ATP9B	15	f-25
ATP9B	166	f-12
ATP9B	2	f-16
ATP9B	2	f-41
ATP9B	283	f-23
ATP9B	283	f-71
ATP9B	3	f-213
ATP9B	37	f-26
ATP9B	4	f-211
ATP9B	40	f-14
ATP9B	45	f-61
ATP9B	48	f-63
ATP9B	53	f-62
ATP9B	7	f-212
ATPAF1	1	f-41
ATPAF1	1	f-51
ATPAF1	16	f-25
ATPAF1	26	f-62
ATPAF1	3	f-14
ATPAF1	45	f-26
ATPAF1	46	f-61
ATPAF1	57	f-63
ATPAF1	97	f-13
ATPAF2	1	f-213
ATPAF2	1	f-25
ATPAF2	1	f-41
ATPAF2	157	f-13
ATPAF2	18	f-14
ATPAF2	2	f-212
ATPAF2	3	f-211
ATPAF2	32	f-12
ATPAF2	4	f-23
ATPAF2	4	f-35
ATPAF2	4	f-71
ATPAF2	53	f-63
ATPAF2	57	f-26
ATPAF2	63	f-62
ATPAF2	8	f-61
ATPBD1B	1	f-41
ATPBD1B	1	f-63
ATPBD1B	3	f-61
ATPBD4	139	f-13
ATPBD4	15	f-63
ATPBD4	16	f-26
ATPBD4	2	f-14
ATPBD4	20	f-62
ATPBD4	22	f-61
ATPBD4	7	f-25
ATPGD1	13	f-41
ATPGD1	2	f-25
ATPIF1	1	f-23
ATPIF1	1	f-232
ATPIF1	1	f-71
ATPIF1	12	f-25
ATPIF1	12	f-39
ATPIF1	12	f-390
ATPIF1	12	f-391
ATPIF1	12	f-92
ATPIF1	15	f-392
ATPIF1	175	f-13
ATPIF1	189	f-33
ATPIF1	2	f-231
ATPIF1	2	f-37
ATPIF1	2	f-38
ATPIF1	2	f-51
ATPIF1	3	f-233
ATPIF1	30	f-21
ATPIF1	30	f-72
ATPIF1	4	f-14
ATPIF1	449	f-12
ATPIF1	46	f-61
ATPIF1	5	f-41
ATPIF1	6	f-32
ATPIF1	64	f-63
ATPIF1	88	f-26
ATPIF1	97	f-62
ATR	1	f-39
ATR	1	f-390
ATR	105	f-35
ATR	17	f-36
ATR	2	f-14
ATR	24	f-92
ATR	28	f-391
ATRAID	39	f-12
ATRAID	6	f-14
ATRIP	1	f-12
ATRIP	1	f-41
ATRIP	2	f-25
ATRIP	28	f-26
ATRIP	37	f-62
ATRIP	40	f-63
ATRIP	8	f-14
ATRN	1	f-23
ATRN	1	f-28
ATRN	1	f-41
ATRN	1	f-71
ATRN	19	f-25
ATRN	26	f-13
ATRN	28	f-61
ATRN	31	f-62
ATRN	45	f-26
ATRN	68	f-63
ATRN	8	f-14
ATXN1	1	f-16
ATXN1	1	f-25
ATXN1	1	f-28
ATXN1	1	f-35
ATXN1	12	f-26
ATXN1	13	f-12
ATXN1	2	f-92
ATXN1	24	f-62
ATXN1	27	f-13
ATXN1	47	f-63
ATXN1	7	f-14
ATXN1	8	f-61
ATXN10	1	f-25
ATXN10	1	f-26
ATXN10	1	f-28
ATXN10	1	f-63
ATXN10	14	f-14
ATXN10	28	f-22
ATXN10	3	f-13
ATXN10	33	f-23
ATXN10	33	f-71
ATXN10	65	f-12
ATXN1L	1	f-14
ATXN1L	1	f-28
ATXN2	1	f-41
ATXN2	1	f-51
ATXN2	162	f-38
ATXN2	241	f-391
ATXN2	28	f-35
ATXN2	28	f-63
ATXN2	32	f-42
ATXN2	6	f-14
ATXN2	79	f-390
ATXN2	92	f-13
ATXN2L	1	f-12
ATXN2L	16	f-14
ATXN2L	2	f-41
ATXN2L	6	f-13
ATXN3	1	f-13
ATXN3	1	f-16
ATXN3	1	f-51
ATXN3	10	f-14
ATXN3	10	f-25
ATXN3	103	f-12
ATXN3	2	f-23
ATXN3	2	f-71
ATXN3	20	f-63
ATXN3	24	f-38
ATXN3	25	f-61
ATXN3	27	f-26
ATXN3	29	f-62
ATXN3	4	f-21
ATXN3	4	f-72
ATXN7	1	f-212
ATXN7	2	f-41
ATXN7	4	f-14
ATXN7L1	1	f-16
ATXN7L1	1	f-22
ATXN7L1	1	f-41
ATXN7L1	1	f-62
ATXN7L1	11	f-23
ATXN7L1	11	f-71
ATXN7L1	2	f-25
ATXN7L1	3	f-14
ATXN7L1	3	f-26
ATXN7L1	3	f-33
ATXN7L1	4	f-13
ATXN7L2	7	f-14
ATXN7L3	1	f-61
ATXN7L3B	1	f-16
ATXN7L3B	1	f-42
ATXN7L3B	2	f-21
ATXN7L3B	2	f-72
ATXN7L3B	88	f-12
ATXN8OS	3	f-25
AUH	1	f-26
AUH	4	f-62
AUH	4	f-63
AUH	4	f-92
AUH	5	f-14
AUNIP	4	f-91
AUP1	4	f-37
AUP1	86	f-36
AURKA	1	f-13
AURKA	1	f-14
AURKA	3	f-22
AURKA	3	f-41
AURKA	6	f-63
AURKA	8	f-26
AURKA	8	f-62
AURKAPS1	1	f-16
AURKAPS1	2	f-392
AURKB	19	f-28
AURKB	2	f-25
AURKB	3	f-390
AURKB	8	f-41
AURKB	9	f-14
AURKC	1	f-211
AURKC	1	f-213
AURKC	1	f-27
AURKC	1	f-392
AURKC	10	f-390
AURKC	27	f-13
AURKC	8	f-14
AUTS2	1	f-16
AUTS2	1	f-51
AUTS2	1	f-91
AUTS2	10	f-12
AUTS2	163	f-13
AUTS2	169	f-36
AUTS2	2	f-26
AUTS2	22	f-390
AUTS2	29	f-14
AUTS2	34	f-63
AUTS2	7	f-39
AUTS2	7	f-61
AVEN	1	f-28
AVEN	1	f-41
AVEN	12	f-26
AVEN	15	f-39
AVEN	15	f-61
AVEN	2	f-14
AVEN	31	f-63
AVEN	32	f-92
AVEN	34	f-35
AVEN	36	f-36
AVEN	39	f-62
AVIL	18	f-14
AVIL	9	f-27
AVIL	9	f-28
AVL9	1	f-16
AVL9	1	f-41
AVL9	1	f-51
AVL9	18	f-14
AVL9	2	f-42
AVL9	3	f-25
AVL9	67	f-26
AVL9	92	f-61
AVL9	93	f-63
AVL9	94	f-62
AVP	1	f-13
AVP	1	f-211
AVP	1	f-212
AVP	1	f-26
AVP	1	f-41
AVP	1	f-62
AVPI1	1	f-16
AVPI1	1	f-25
AVPI1	1	f-41
AVPI1	12	f-61
AVPI1	15	f-13
AVPI1	17	f-37
AVPI1	2	f-14
AVPI1	24	f-62
AVPI1	25	f-391
AVPI1	28	f-91
AVPI1	3	f-26
AVPI1	3	f-38
AVPI1	32	f-390
AVPI1	4	f-39
AVPI1	5	f-35
AVPI1	9	f-63
AVPR1A	1	f-14
AVPR1A	1	f-212
AVPR1B	1	f-25
AVPR2	6	f-42
AWAT1	9	f-390
AWAT2	2	f-391
AXDND1	21	f-92
AXIN1	1	f-51
AXIN1	1	f-61
AXIN1	12	f-14
AXIN1	136	f-13
AXIN1	26	f-33
AXIN1	5	f-63
AXIN2	1	f-392
AXIN2	1	f-62
AXIN2	1	f-63
AXIN2	154	f-13
AXIN2	2	f-212
AXIN2	2	f-37
AXIN2	20	f-14
AXIN2	4	f-35
AXIN2	7	f-42
AXL	1	f-27
AXL	11	f-26
AXL	12	f-14
AXL	16	f-62
AXL	23	f-61
AXL	25	f-13
AXL	31	f-63
AXUD1	3	f-62
AXUD1	3	f-63
AXUD1	42	f-13
AYTL1	400	f-13
AYTL2	44	f-13
AZGP1P1	3	f-14
AZGP1P1	6	f-391
AZI1	1	f-12
AZI1	1	f-62
AZI1	17	f-26
AZI1	19	f-14
AZI1	5	f-63
AZI1	6	f-61
AZI1	66	f-13
AZI2	1	f-16
AZI2	1	f-25
AZI2	1	f-392
AZI2	1	f-51
AZI2	2	f-391
AZI2	2	f-92
AZI2	22	f-26
AZI2	3	f-28
AZI2	7	f-35
AZI2	8	f-14
AZI2	93	f-13
AZI2	98	f-27
AZIN1	1	f-61
AZIN1	16	f-14
AZIN1	17	f-23
AZIN1	17	f-26
AZIN1	17	f-71
AZIN1	2	f-231
AZIN1	2	f-232
AZIN1	2	f-233
AZIN1	3	f-234
AZIN1	325	f-13
AZIN1	39	f-12
AZIN1	8	f-63
AZIN1	87	f-33
AZIN1	9	f-41
AZU1	1	f-39
AZU1	3	f-14
AZU1	4	f-13
B2M	4	f-14
B2M	82	f-13
B3GALNT1	1	f-26
B3GALNT1	1	f-61
B3GALNT1	1	f-62
B3GALNT1	129	f-36
B3GALNT1	206	f-92
B3GALNT1	218	f-392
B3GALNT1	220	f-13
B3GALNT1	233	f-35
B3GALNT1	26	f-41
B3GALNT1	3	f-14
B3GALNT1	3	f-213
B3GALNT1	3	f-390
B3GALNT1	31	f-42
B3GALNT1	32	f-38
B3GALNT1	4	f-211
B3GALNT1	46	f-33
B3GALNT1	53	f-63
B3GALNT1	63	f-91
B3GALNT1	7	f-212
B3GALNT2	1	f-221
B3GALNT2	1	f-302
B3GALNT2	10	f-223
B3GALNT2	103	f-36
B3GALNT2	11	f-225
B3GALNT2	110	f-39
B3GALNT2	114	f-12
B3GALNT2	116	f-27
B3GALNT2	122	f-28
B3GALNT2	124	f-42
B3GALNT2	127	f-91
B3GALNT2	14	f-211
B3GALNT2	15	f-14
B3GALNT2	157	f-13
B3GALNT2	16	f-26
B3GALNT2	17	f-212
B3GALNT2	17	f-213
B3GALNT2	2	f-16
B3GALNT2	20	f-61
B3GALNT2	3	f-31
B3GALNT2	32	f-62
B3GALNT2	35	f-63
B3GALNT2	406	f-23
B3GALNT2	406	f-71
B3GALNT2	5	f-25
B3GALNT2	52	f-391
B3GALNT2	53	f-35
B3GALNT2	55	f-92
B3GALNT2	56	f-392
B3GALNT2	58	f-37
B3GALNT2	58	f-390
B3GALNT2	6	f-224
B3GALNT2	68	f-33
B3GALNT2	69	f-38
B3GALNT2	77	f-22
B3GALNT2	89	f-21
B3GALNT2	89	f-72
B3GALT1	1	f-23
B3GALT1	1	f-36
B3GALT1	1	f-390
B3GALT1	1	f-71
B3GALT1	3	f-22
B3GALT2	1	f-14
B3GALT3	1	f-41
B3GALT4	1	f-14
B3GALT4	1	f-38
B3GALT4	102	f-62
B3GALT4	119	f-26
B3GALT4	14	f-25
B3GALT4	2	f-41
B3GALT4	4	f-91
B3GALT4	50	f-61
B3GALT4	506	f-13
B3GALT4	84	f-63
B3GALT5	13	f-13
B3GALT6	1	f-14
B3GALT6	1	f-16
B3GALT6	105	f-392
B3GALT6	110	f-92
B3GALT6	113	f-390
B3GALT6	114	f-391
B3GALT6	137	f-35
B3GALT6	137	f-36
B3GALT6	2	f-42
B3GALT6	25	f-13
B3GALT6	78	f-37
B3GALT6	84	f-38
B3GALT6	94	f-27
B3GALT6	95	f-39
B3GALT6	98	f-12
B3GALT6	98	f-91
B3GALTL	135	f-92
B3GALTL	15	f-36
B3GALTL	35	f-62
B3GALTL	35	f-63
B3GALTL	37	f-61
B3GALTL	40	f-26
B3GALTL	5	f-14
B3GALTL	50	f-390
B3GALTL	50	f-391
B3GALTL	51	f-39
B3GALTL	66	f-392
B3GALTL	71	f-35
B3GAT1	1	f-41
B3GAT1	11	f-39
B3GAT1	14	f-14
B3GAT1	2	f-61
B3GAT1	21	f-12
B3GAT1	22	f-392
B3GAT1	25	f-37
B3GAT1	32	f-391
B3GAT2	11	f-392
B3GAT2	27	f-36
B3GAT3	1	f-12
B3GAT3	1	f-26
B3GAT3	1	f-392
B3GAT3	1	f-41
B3GAT3	1	f-51
B3GAT3	2	f-62
B3GAT3	4	f-14
B3GAT3	4	f-21
B3GAT3	4	f-72
B3GN-T6	2	f-63
B3GN-T6	4	f-26
B3GNT1	20	f-28
B3GNT1	25	f-26
B3GNT1	26	f-62
B3GNT1	4	f-14
B3GNT1	5	f-25
B3GNT1	7	f-63
B3GNT2	1	f-37
B3GNT2	1	f-39
B3GNT2	117	f-12
B3GNT2	14	f-63
B3GNT2	2	f-25
B3GNT2	24	f-61
B3GNT2	3	f-14
B3GNT2	4	f-62
B3GNT2	6	f-23
B3GNT2	6	f-71
B3GNT2	9	f-26
B3GNT3	1	f-16
B3GNT3	1	f-91
B3GNT3	11	f-391
B3GNT3	2	f-211
B3GNT3	2	f-212
B3GNT3	2	f-35
B3GNT3	2	f-39
B3GNT3	2	f-392
B3GNT3	22	f-33
B3GNT3	3	f-213
B3GNT3	3	f-390
B3GNT3	4	f-14
B3GNT3	6	f-12
B3GNT5	1	f-35
B3GNT5	17	f-28
B3GNT5	2	f-14
B3GNT5	25	f-27
B3GNT5	3	f-63
B3GNT5	4	f-26
B3GNT5	63	f-23
B3GNT5	63	f-71
B3GNT6	12	f-63
B3GNT6	23	f-26
B3GNT6	26	f-62
B3GNT6	4	f-25
B3GNT7	1	f-213
B3GNT7	1	f-28
B3GNT7	19	f-91
B3GNT7	21	f-27
B3GNT7	3	f-14
B3GNT7	3	f-35
B3GNT8	1	f-14
B3GNT8	1	f-51
B3GNT8	1	f-61
B3GNT8	22	f-26
B3GNT8	22	f-63
B3GNT8	24	f-62
B3GNTL1	1	f-211
B3GNTL1	1	f-51
B3GNTL1	1	f-61
B3GNTL1	10	f-26
B3GNTL1	11	f-33
B3GNTL1	121	f-37
B3GNTL1	17	f-62
B3GNTL1	20	f-63
B3GNTL1	4	f-213
B3GNTL1	4	f-91
B3GNTL1	48	f-42
B3GNTL1	5	f-38
B3GNTL1	6	f-25
B3GNTL1	60	f-14
B3GNTL1	70	f-12
B3GNTL1	76	f-390
B3GNTL1	9	f-39
B3GNTL1	91	f-391
B3GNTL1	91	f-392
B4GALNT1	1	f-14
B4GALNT1	1	f-211
B4GALNT2	1	f-38
B4GALNT3	1	f-23
B4GALNT3	1	f-71
B4GALNT3	12	f-38
B4GALNT3	15	f-392
B4GALNT3	19	f-35
B4GALNT3	19	f-36
B4GALNT3	19	f-39
B4GALNT3	19	f-390
B4GALNT3	19	f-42
B4GALNT3	19	f-91
B4GALNT3	20	f-37
B4GALNT3	20	f-391
B4GALNT3	20	f-92
B4GALNT3	3	f-211
B4GALNT3	3	f-212
B4GALNT3	3	f-213
B4GALNT3	31	f-14
B4GALNT3	46	f-31
B4GALNT3	5	f-27
B4GALNT3	6	f-33
B4GALNT3	73	f-12
B4GALNT4	1	f-212
B4GALNT4	1	f-213
B4GALNT4	1	f-41
B4GALNT4	2	f-211
B4GALNT4	3	f-39
B4GALNT4	3	f-62
B4GALNT4	66	f-14
B4GALNT4	7	f-392
B4GALT1	1	f-16
B4GALT1	1	f-390
B4GALT1	1	f-51
B4GALT1	11	f-41
B4GALT1	14	f-62
B4GALT1	140	f-32
B4GALT1	15	f-14
B4GALT1	150	f-31
B4GALT1	163	f-33
B4GALT1	18	f-61
B4GALT1	22	f-26
B4GALT1	29	f-63
B4GALT1	40	f-38
B4GALT1	66	f-92
B4GALT1	85	f-42
B4GALT1	92	f-392
B4GALT1	95	f-37
B4GALT1	98	f-35
B4GALT1	99	f-36
B4GALT2	1	f-61
B4GALT2	1	f-63
B4GALT2	10	f-37
B4GALT2	12	f-62
B4GALT2	3	f-13
B4GALT2	4	f-25
B4GALT3	1	f-51
B4GALT3	1	f-61
B4GALT3	14	f-26
B4GALT3	17	f-39
B4GALT3	3	f-14
B4GALT3	55	f-13
B4GALT3	6	f-63
B4GALT4	1	f-16
B4GALT4	1	f-211
B4GALT4	1	f-61
B4GALT4	103	f-39
B4GALT4	113	f-13
B4GALT4	113	f-38
B4GALT4	118	f-390
B4GALT4	12	f-14
B4GALT4	129	f-37
B4GALT4	131	f-392
B4GALT4	17	f-27
B4GALT4	17	f-63
B4GALT4	2	f-25
B4GALT4	2	f-42
B4GALT4	25	f-28
B4GALT4	25	f-32
B4GALT4	31	f-35
B4GALT4	4	f-212
B4GALT4	4	f-62
B4GALT4	47	f-91
B4GALT4	5	f-213
B4GALT4	5	f-31
B4GALT4	56	f-36
B4GALT4	6	f-26
B4GALT4	60	f-92
B4GALT4	7	f-41
B4GALT4	72	f-12
B4GALT4	87	f-391
B4GALT4-AS1	43	f-35
B4GALT5	1	f-16
B4GALT5	10	f-14
B4GALT5	146	f-13
B4GALT5	2	f-37
B4GALT5	2	f-41
B4GALT5	2	f-61
B4GALT5	3	f-62
B4GALT5	4	f-12
B4GALT5	4	f-63
B4GALT5	7	f-391
B4GALT6	1	f-14
B4GALT6	15	f-392
B4GALT6	15	f-92
B4GALT6	19	f-33
B4GALT6	21	f-391
B4GALT6	23	f-35
B4GALT6	25	f-36
B4GALT6	25	f-390
B4GALT6	3	f-41
B4GALT7	1	f-23
B4GALT7	1	f-51
B4GALT7	1	f-71
B4GALT7	12	f-14
B4GALT7	204	f-12
B4GALT7	3	f-62
B4GALT7	30	f-13
B4GALT7	6	f-63
B4GALT7	7	f-26
B9D1	1	f-25
B9D2	1	f-26
B9D2	1	f-62
B9D2	3	f-14
B9D2	55	f-13
B9D2	7	f-33
BAALC	1	f-25
BAALC	1	f-26
BAALC	1	f-41
BAALC	10	f-62
BAALC	17	f-61
BAALC	2	f-14
BAALC	38	f-42
BAALC	5	f-63
BAALC	7	f-91
BAAT	4	f-36
BABAM1	5	f-14
BACE1	1	f-14
BACE1	1	f-37
BACE1	1	f-39
BACE1	1	f-392
BACE1	2	f-211
BACE1	2	f-212
BACE1	20	f-21
BACE1	20	f-72
BACE1	4	f-13
BACE1	4	f-27
BACE1	4	f-28
BACE1	50	f-23
BACE1	50	f-71
BACE1	6	f-36
BACE1	7	f-92
BACE1	8	f-35
BACE1	8	f-42
BACE2	1	f-26
BACE2	1	f-37
BACE2	13	f-12
BACE2	17	f-92
BACE2	18	f-14
BACE2	2	f-25
BACE2	3	f-41
BACE2	3	f-61
BACE2	9	f-35
BACE2	92	f-13
BACE2-IT1	1	f-14
BACE2-IT1	2	f-39
BACH1	1	f-25
BACH1	10	f-13
BACH1	10	f-14
BACH1	10	f-39
BACH1	12	f-42
BACH1	13	f-22
BACH1	14	f-37
BACH1	18	f-63
BACH1	2	f-36
BACH1	2	f-91
BACH1	23	f-92
BACH1	3	f-38
BACH1	5	f-35
BACH1	5	f-62
BACH1	6	f-392
BACH1	74	f-23
BACH1	74	f-71
BACH1-AS1	1	f-14
BACH1-IT1	1	f-14
BACH1-IT1	1	f-27
BACH1-IT1	1	f-390
BACH1-IT2	1	f-14
BACH1-IT2	3	f-27
BACH1-IT2	42	f-91
BACH1-IT2	6	f-35
BACH2	1	f-26
BACH2	1	f-62
BACH2	1	f-63
BACH2	2	f-35
BACH2	29	f-13
BACH2	3	f-25
BACH2	4	f-14
BACH2	46	f-36
BACH2	50	f-92
BACH2	6	f-41
BACH2	8	f-42
BAD	1	f-14
BAD	1	f-25
BAD	1	f-62
BAD	1	f-63
BAD	33	f-13
BAG1	1	f-14
BAG1	1	f-41
BAG1	4	f-26
BAG1	5	f-62
BAG1	5	f-63
BAG2	12	f-91
BAG2	13	f-28
BAG2	2	f-14
BAG3	1	f-14
BAG3	1	f-25
BAG3	12	f-63
BAG3	5	f-62
BAG3	6	f-26
BAG3	6	f-41
BAG3	63	f-13
BAG3	8	f-61
BAG3	9	f-390
BAG4	144	f-12
BAG4	4	f-13
BAG5	1	f-16
BAG5	1	f-213
BAG5	15	f-26
BAG5	18	f-390
BAG5	19	f-62
BAG5	2	f-14
BAG5	20	f-33
BAG5	257	f-13
BAG5	3	f-37
BAG5	38	f-391
BAG5	4	f-39
BAG5	6	f-61
BAG5	7	f-92
BAG6	1	f-14
BAG6	1	f-27
BAG6	1	f-391
BAG6	127	f-23
BAG6	127	f-71
BAG6	2	f-42
BAG6	2	f-92
BAG6	4	f-91
BAHCC1	18	f-14
BAHD1	2	f-13
BAHD1	3	f-12
BAHD1	4	f-14
BAI1	10	f-35
BAI1	10	f-36
BAI1	12	f-27
BAI1	13	f-37
BAI1	19	f-392
BAI1	26	f-14
BAI2	2	f-25
BAI3	14	f-21
BAI3	14	f-72
BAI3	2	f-392
BAI3	2	f-41
BAI3	29	f-28
BAI3	3	f-14
BAI3	57	f-27
BAIAP2	1	f-16
BAIAP2	1	f-51
BAIAP2	1	f-92
BAIAP2	10	f-25
BAIAP2	12	f-23
BAIAP2	12	f-71
BAIAP2	157	f-13
BAIAP2	18	f-39
BAIAP2	19	f-62
BAIAP2	20	f-61
BAIAP2	24	f-22
